class,fgpa,gpa,gen,age,study,distance,rep,value,oppgrow,swag,assoc,donate,suppres,divexp,talk,satacopp,sbonds,unique,home,sports,meanact,major,acsupp,facsrel,ocpride,cultacc,pride,cares,colors,appreciated,ocbelong,imm,int,country,usforeign,region,continent
2,3,2,1,1,0,0,2,2,2,0,1,2,2,1,2,2,1,1,1,0,2,2,1,1,2,2,1,1,0,2,1,1,0,Iran ,0,South-Central Asia,Asia
1,3,3,1,1,6,0,2,2,2,1,1,2,2,1,1,2,1,2,2,0,2,2,2,1,2,3,2,2,2,2,2,1,0,Bangladesh,0,South-Central Asia,Asia
3,3,2,1,2,6,0,2,2,3,0,0,1,3,3,2,3,1,2,2,0,3,1,2,2,2,2,2,2,2,2,1,0,0,NA,0,NA,NA
3,2,2,1,1,4,0,2,3,3,0,3,2,3,3,2,3,3,3,2,0,2,3,3,3,2,3,2,3,1,3,3,1,0,Bangladesh,0,South-Central Asia,Asia
2,2,1,0,1,1,0,1,2,2,0,0,1,2,3,1,2,2,3,2,0,2,1,2,1,1,2,2,2,1,1,1,0,0,NA,0,NA,NA
3,2,2,1,1,4,0,3,2,2,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,1,3,3,2,2,2,1,0,0,NA,0,NA,NA
3,3,3,0,1,6,0,3,3,3,3,3,3,3,3,2,3,2,3,3,1,3,1,3,3,0,3,3,3,3,3,2,1,0,Jordan,0,Western Asia,Asia
3,3,3,1,1,4,0,2,3,2,0,2,1,1,3,2,2,2,1,1,0,2,1,3,3,2,3,2,3,2,3,2,1,0,Vietnam,0,Southeast Asia,Asia
4,3,3,1,2,1,0,2,2,2,0,1,2,2,1,2,2,0,2,0,0,2,1,2,2,1,2,2,2,1,2,1,1,1,Korea,0,Eastern Europe,Asia
3,3,3,1,1,7,0,2,3,3,0,2,2,3,2,2,3,3,3,3,0,3,3,3,2,2,2,3,3,2,3,2,1,0,NA,0,NA,NA
4,3,3,0,2,1,0,1,2,0,2,2,3,2,3,2,1,1,2,2,1,1,1,3,0,2,1,3,1,2,1,1,1,0,NA,0,NA,NA
